Year	Player	Pos	Age	Tm	G	GS	PTS	Minutes Played	PER	TS%	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017	J.J. Barea	PG	32	DAL	35	6	381	771	17.2	0.521	1.3	11.9	6.3	44.2	0.9	0.1	14.7	26.2	0.8	0.5	1.3	0.08	2	-2.6	-0.6	0.3	142	343	0.414	53	148	0.358	89	195	0.456	0.491	44	51	0.863	9	75	84	193	14	1	63	30	381
2017	Harrison Barnes	PF	24	DAL	79	79	1518	2803	16.3	0.541	3.7	13.2	8.2	7.8	1.2	0.5	6.8	25.3	2.5	2.1	4.6	0.079	-0.7	-1.2	-1.9	0.1	599	1280	0.468	78	222	0.351	521	1058	0.492	0.498	242	281	0.861	94	303	397	117	66	15	102	128	1518
2017	Matt Barnes	SF	36	TOT	74	18	527	1777	10.3	0.514	4.6	19.9	12.4	15.6	1.3	1.3	17.3	15.6	0.3	1.7	2	0.053	-1.2	0.6	-0.6	0.6	185	473	0.391	87	263	0.331	98	210	0.467	0.483	70	89	0.787	70	317	387	194	48	26	107	185	527
2017	Matt Barnes	SF	36	SAC	54	13	413	1367	10.2	0.501	4.7	20.1	12.5	16.2	1.3	1.1	16.8	16.4	-0.1	1.1	1	0.034	-1.2	0.3	-1	0.4	147	383	0.384	69	211	0.327	78	172	0.453	0.474	50	66	0.758	55	241	296	149	36	17	83	138	413
2017	Matt Barnes	SF	36	GSW	20	5	114	410	10.7	0.569	4.3	19.1	12.2	13.7	1.4	1.7	19.3	13.1	0.3	0.6	1	0.115	-1	1.6	0.6	0.3	38	90	0.422	18	52	0.346	20	38	0.526	0.522	20	23	0.87	15	76	91	45	12	9	24	47	114
2017	Will Barton	SG	26	DEN	60	19	820	1705	15.5	0.547	3.8	12.8	8.4	17.7	1.4	1.3	11.5	21.1	2.5	0.8	3.3	0.093	1.3	-1	0.3	1	295	666	0.443	87	235	0.37	208	431	0.483	0.508	143	190	0.753	58	200	258	206	48	28	97	110	820
2017	Brandon Bass	PF	31	LAC	52	0	292	577	19.7	0.65	8.6	16.2	12.5	5.7	1.2	1.6	11.4	19.7	1.6	0.6	2.2	0.186	0.1	-0.8	-0.7	0.2	107	186	0.575	1	3	0.333	106	183	0.579	0.578	77	88	0.875	43	86	129	21	14	11	29	45	292
2017	Nicolas Batum	SG	28	CHO	77	77	1164	2617	15.8	0.529	1.9	18.4	10.1	27.6	1.6	1	15	22.3	1.7	2.8	4.5	0.083	0.6	0.6	1.2	2.1	393	975	0.403	135	405	0.333	258	570	0.453	0.472	243	284	0.856	46	435	481	455	86	29	194	109	1164
2017	Jerryd Bayless	PG	28	PHI	3	1	33	71	8.7	0.453	4.6	14	9.3	29.4	0	0	19.8	27.7	-0.1	0	-0.1	-0.067	-5.2	-2.9	-8.2	-0.1	11	32	0.344	2	5	0.4	9	27	0.333	0.375	9	10	0.9	3	9	12	13	0	0	9	4	33
2017	Aron Baynes	C	30	DET	75	2	365	1163	13.1	0.57	10	21.6	15.6	3.9	0.7	2.8	13.5	14.1	1.4	1.5	3	0.123	-2.9	1.1	-1.8	0.1	143	279	0.513	0	0	0	143	279	0.513	0.513	79	94	0.84	111	222	333	32	17	39	50	166	365
2017	Kent Bazemore	SF	27	ATL	73	64	801	1963	11.5	0.504	2.6	10.3	6.5	14.2	2.3	2.3	13.6	20.5	-0.6	2.8	2.1	0.053	-2	1.2	-0.8	0.6	295	721	0.409	92	266	0.346	203	455	0.446	0.473	119	168	0.708	45	186	231	177	91	52	125	165	801
2017	Bradley Beal	SG	23	WAS	77	77	1779	2684	20.1	0.604	2.2	7.8	5	16.2	1.5	0.7	9.6	26.5	6.8	1.6	8.5	0.151	4.5	-2.4	2.2	2.8	637	1322	0.482	223	552	0.404	414	770	0.538	0.566	282	342	0.825	53	186	239	267	83	21	157	169	1779
